Datetime,Open,High,Low,Close,Volume,Adj Close,Prediction,pointpos,Prediction_plot
2024-09-24 08:01:00+00:00,147.33,147.42,147.26,147.37,362392,890,0,147.26049999999998,1
2024-09-24 08:02:00+00:00,147.37,147.37,147.15,147.2,299125,761,2,147.1505,1
2024-09-24 08:03:00+00:00,147.19,147.38,147.17,147.33,126548,941,1,147.17049999999998,1
2024-09-24 08:04:00+00:00,147.32,147.48,147.3,147.44,445539,927,1,147.3005,1
2024-09-24 08:05:00+00:00,147.45,147.5,147.23,147.29,1115239,1438,1,147.23049999999998,1
2024-09-24 08:06:00+00:00,147.28,147.33,147.19,147.3,229829,510,0,147.1905,1
2024-09-24 08:07:00+00:00,147.3,147.3,147.11,147.18,574392,727,1,147.1105,1
2024-09-24 08:08:00+00:00,147.18,147.34,147.18,147.31,266663,565,0,147.1805,1
2024-09-24 08:09:00+00:00,147.31,147.38,147.29,147.3,571800,772,0,147.29049999999998,1
2024-09-24 08:10:00+00:00,147.29,147.36,147.29,147.35,230184,512,2,147.29049999999998,1
2024-09-24 08:11:00+00:00,147.35,147.39,147.26,147.37,515880,1205,1,147.26049999999998,1
2024-09-24 08:12:00+00:00,147.37,147.48,147.36,147.41,706867,1254,0,147.3605,1
2024-09-24 08:13:00+00:00,147.42,147.47,147.24,147.26,233953,773,1,147.2405,1
2024-09-24 08:14:00+00:00,147.25,147.32,147.19,147.28,354641,939,0,147.1905,1
2024-09-24 08:15:00+00:00,147.28,147.38,147.06,147.08,431470,1260,0,147.0605,1
2024-09-24 08:16:00+00:00,147.08,147.14,147.05,147.06,241766,579,5,147.0505,1
2024-09-24 08:17:00+00:00,147.07,147.2,147.06,147.19,257586,531,4,147.0605,1
2024-09-24 08:18:00+00:00,147.19,147.27,147.13,147.23,149282,736,1,147.13049999999998,1
2024-09-24 08:19:00+00:00,147.24,147.29,147.15,147.25,446647,1023,1,147.1505,1
2024-09-24 08:20:00+00:00,147.26,147.33,147.19,147.26,85581,729,1,147.1905,1
2024-09-24 08:21:00+00:00,147.27,147.33,147.21,147.32,183765,588,4,147.2105,1
2024-09-24 08:22:00+00:00,147.32,147.5,147.32,147.47,344921,637,3,147.32049999999998,1
2024-09-24 08:23:00+00:00,147.47,147.57,147.47,147.55,487190,705,2,147.4705,1
2024-09-24 08:24:00+00:00,147.56,147.67,147.55,147.58,447689,906,0,147.5505,1
2024-09-24 08:25:00+00:00,147.58,147.64,147.57,147.6,718973,981,1,147.57049999999998,1
2024-09-24 08:26:00+00:00,147.61,147.68,147.42,147.53,1241867,1220,0,147.42049999999998,1
2024-09-24 08:27:00+00:00,147.52,147.53,147.46,147.52,290221,410,5,147.4605,1
2024-09-24 08:28:00+00:00,147.52,147.74,147.5,147.71,605497,1027,4,147.5005,1
2024-09-24 08:29:00+00:00,147.71,147.85,147.7,147.8,1076845,1132,0,147.70049999999998,1
2024-09-24 08:30:00+00:00,147.8,147.87,147.74,147.81,882423,933,1,147.7405,1
2024-09-24 08:31:00+00:00,147.81,147.99,147.78,147.95,696732,1328,1,147.7805,1
2024-09-24 08:32:00+00:00,147.95,148.0,147.9,147.97,1043218,1285,0,147.9005,1
2024-09-24 08:33:00+00:00,147.98,147.98,147.52,147.74,1650604,1719,0,147.5205,1
2024-09-24 08:34:00+00:00,147.74,147.74,147.5,147.56,1518091,1231,3,147.5005,1
2024-09-24 08:35:00+00:00,147.56,147.82,147.55,147.79,401988,717,2,147.5505,1
2024-09-24 08:36:00+00:00,147.8,148.19,147.8,148.13,2747547,2412,1,147.8005,1
2024-09-24 08:37:00+00:00,148.14,148.45,148.12,148.44,2357546,3224,0,148.1205,1
2024-09-24 08:38:00+00:00,148.43,148.55,148.07,148.08,1180272,2635,0,148.07049999999998,1
2024-09-24 08:39:00+00:00,148.08,148.17,147.92,147.92,572249,1306,0,147.92049999999998,1
2024-09-24 08:40:00+00:00,147.92,147.96,147.8,147.83,245466,909,1,147.8005,1
2024-09-24 08:41:00+00:00,147.82,147.9,147.71,147.87,339368,1329,0,147.7105,1
2024-09-24 08:42:00+00:00,147.86,147.87,147.77,147.8,221517,729,0,147.7705,1
2024-09-24 08:43:00+00:00,147.8,148.06,147.73,147.95,1089137,1628,3,147.73049999999998,1
2024-09-24 08:44:00+00:00,147.95,148.08,147.95,147.99,286039,720,0,147.95049999999998,1
2024-09-24 08:45:00+00:00,147.99,148.04,147.91,148.0,149052,706,1,147.91049999999998,1
2024-09-24 08:46:00+00:00,148.0,148.22,148.0,148.15,779306,2289,0,148.0005,1
2024-09-24 08:47:00+00:00,148.14,148.23,148.08,148.13,228416,1100,0,148.0805,1
2024-09-24 08:48:00+00:00,148.14,148.27,148.02,148.09,253114,1276,2,148.0205,1
2024-09-24 08:49:00+00:00,148.1,148.45,148.1,148.34,488817,1281,1,148.10049999999998,1
2024-09-24 08:50:00+00:00,148.33,148.48,148.31,148.4,247517,1082,0,148.3105,1
2024-09-24 08:51:00+00:00,148.39,148.54,148.25,148.25,1975646,1760,0,148.2505,1
2024-09-24 08:52:00+00:00,148.25,148.26,147.98,148.05,669565,1190,3,147.98049999999998,1
